,diff_percentage
0,21.1130830462136
1,44.5286227947643
2,48.4646725320601
3,56.2282213247857
4,61.4749677349286
5,63.5361347395985
6,67.1013146707118
7,73.9372639302103
8,83.6330231731168
9,87.6647047317602
10,88.8136270968471
11,89.8836531132641
12,92.5164080921557
13,93.2897683695953
14,95.8112642489975
15,96.828368970376
16,96.9867671077631
17,97.9999622990066
18,98.0166930090239
19,98.0890017324657
20,98.1926388808859
21,98.6734371697335
22,99.0742951115355
23,99.2740864633007
24,99.5399714351091
25,99.7038978518427
26,99.7038978518427
27,99.9067641625528
28,99.999956995456
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,135.102862511325
39,173.689033616899
40,202.668134323071
41,210.853614496878
42,247.565664691252
43,254.904770670783
44,302.317812924285
45,537.069765150974
46,797.106841654264
47,952.492845580092
48,2200.07258405237
